item_name,occurrence_count,win_count,Category,champion,total_games_champion,role
TrinityForce,8177,4039,Full Item,Gnar,8719,TOP
Trinity Force,7177,4039,Full Item,Gnar,8719,TOP
Stealth Ward,7009,3840,Trinket,Gnar,8719,TOP
Black Cleaver,5095,2970,Full Item,Gnar,8719,TOP
Plated Steelcaps,4782,2705,Boots,Gnar,8719,TOP
0,3246,1626,,Gnar,8719,TOP
Mercury's Treads,2914,1563,Boots,Gnar,8719,TOP
Doran's Blade,2854,1561,Starter Item,Gnar,8719,TOP
Sterak's Gage,2810,1771,Full Item,Gnar,8719,TOP
Wit's End,1828,1096,Full Item,Gnar,8719,TOP
Ruby Crystal,1327,658,Component,Gnar,8719,TOP
Randuin's Omen,1241,704,Full Item,Gnar,8719,TOP
Farsight Alteration,1187,665,Trinket,Gnar,8719,TOP
Tunneler,1032,598,Component,Gnar,8719,TOP
Negatron Cloak,956,515,Component,Gnar,8719,TOP
Thornmail,950,546,Full Item,Gnar,8719,TOP
Doran's Shield,813,413,Starter Item,Gnar,8719,TOP
Pickaxe,763,451,Component,Gnar,8719,TOP
Phage,762,343,Component,Gnar,8719,TOP
Long Sword,757,372,Component,Gnar,8719,TOP
Bramble Vest,689,368,Component,Gnar,8719,TOP
Warden's Mail,579,301,Component,Gnar,8719,TOP
Refillable Potion,565,262,Consumable,Gnar,8719,TOP
Oracle Lens,512,283,Trinket,Gnar,8719,TOP
Recurve Bow,484,268,Component,Gnar,8719,TOP
"Jak'Sho, The Protean",484,289,Full Item,Gnar,8719,TOP
Force of Nature,481,287,Full Item,Gnar,8719,TOP
Giant's Belt,467,259,Component,Gnar,8719,TOP
Boots of Swiftness,438,250,Boots,Gnar,8719,TOP
Cloth Armor,437,240,Component,Gnar,8719,TOP
Stridebreaker,348,203,Full Item,Gnar,8719,TOP
Blade of The Ruined King,341,205,Full Item,Gnar,8719,TOP
Control Ward,335,194,Consumable,Gnar,8719,TOP
Executioner's Calling,329,157,Component,Gnar,8719,TOP
Null-Magic Mantle,316,178,Component,Gnar,8719,TOP
Chain Vest,289,164,Component,Gnar,8719,TOP
Sundered Sky,288,187,Full Item,Gnar,8719,TOP
Caulfield's Warhammer,248,117,Component,Gnar,8719,TOP
Boots,221,83,Boots,Gnar,8719,TOP
Dagger,215,93,Component,Gnar,8719,TOP
Winged Moonplate,210,128,Component,Gnar,8719,TOP
Kindlegem,207,91,Component,Gnar,8719,TOP
Hullbreaker,200,110,Full Item,Gnar,8719,TOP
Kaenic Rookern,188,113,Full Item,Gnar,8719,TOP
Heartsteel,179,95,Full Item,Gnar,8719,TOP
Glowing Mote,164,70,Consumable,Gnar,8719,TOP
Cull,163,73,Starter Item,Gnar,8719,TOP
Hearthbound Axe,128,39,Component,Gnar,8719,TOP
Chempunk Chainsword,127,76,Full Item,Gnar,8719,TOP
Vampiric Scepter,116,64,Component,Gnar,8719,TOP
Maw of Malmortius,112,62,Full Item,Gnar,8719,TOP
Warmog's Armor,107,62,Full Item,Gnar,8719,TOP
Sheen,103,32,Component,Gnar,8719,TOP
Dead Man's Plate,102,69,Full Item,Gnar,8719,TOP
Berserker's Greaves,102,63,Boots,Gnar,8719,TOP
Death's Dance,91,57,Full Item,Gnar,8719,TOP
Spectre's Cowl,72,31,Component,Gnar,8719,TOP
Ionian Boots of Lucidity,70,34,Boots,Gnar,8719,TOP
Tiamat,69,37,Component,Gnar,8719,TOP
Iceborn Gauntlet,67,33,Full Item,Gnar,8719,TOP
Steel Sigil,64,38,Component,Gnar,8719,TOP
Guinsoo's Rageblade,63,45,Full Item,Gnar,8719,TOP
Phantom Dancer,63,45,Full Item,Gnar,8719,TOP
Overlord's Bloodmail,54,30,Full Item,Gnar,8719,TOP
Hollow Radiance,51,28,Full Item,Gnar,8719,TOP
Hexdrinker,50,24,Component,Gnar,8719,TOP
Frozen Heart,49,26,Full Item,Gnar,8719,TOP
Kraken Slayer,45,33,Full Item,Gnar,8719,TOP
Spirit Visage,38,25,Full Item,Gnar,8719,TOP
Guardian Angel,36,22,Full Item,Gnar,8719,TOP
Spear of Shojin,34,16,Full Item,Gnar,8719,TOP
Terminus,32,18,Full Item,Gnar,8719,TOP
Unending Despair,32,21,Full Item,Gnar,8719,TOP
Profane Hydra,30,13,Full Item,Gnar,8719,TOP
Ravenous Hydra,30,16,Full Item,Gnar,8719,TOP
Health Potion,29,14,Consumable,Gnar,8719,TOP
B. F. Sword,28,19,Component,Gnar,8719,TOP
Mortal Reminder,27,16,Full Item,Gnar,8719,TOP
Sunfire Aegis,26,13,Full Item,Gnar,8719,TOP
Crystalline Bracer,25,12,Component,Gnar,8719,TOP
Bloodthirster,24,14,Full Item,Gnar,8719,TOP
Immortal Shieldbow,24,20,Full Item,Gnar,8719,TOP
Abyssal Mask,23,12,Full Item,Gnar,8719,TOP
Infinity Edge,23,11,Full Item,Gnar,8719,TOP
Liandry's Torment,23,9,Full Item,Gnar,8719,TOP
The Collector,22,9,Full Item,Gnar,8719,TOP
Zeal,18,8,Component,Gnar,8719,TOP
Rectrix,17,12,Component,Gnar,8719,TOP
Titanic Hydra,15,8,Full Item,Gnar,8719,TOP
Zephyr,14,7,Full Item,Gnar,8719,TOP
Runaan's Hurricane,13,7,Full Item,Gnar,8719,TOP
Rejuvenation Bead,12,3,Component,Gnar,8719,TOP
Edge of Night,12,7,Full Item,Gnar,8719,TOP
Bami's Cinder,11,5,Component,Gnar,8719,TOP
Nashor's Tooth,10,7,Full Item,Gnar,8719,TOP
Divine Sunderer,9,5,Full Item,Gnar,8719,TOP
Eclipse,9,2,Full Item,Gnar,8719,TOP
Doran's Ring,8,3,Starter Item,Gnar,8719,TOP
Cloak of Agility,8,3,Component,Gnar,8719,TOP
Serpent's Fang,7,6,Full Item,Gnar,8719,TOP
Serrated Dirk,7,2,Component,Gnar,8719,TOP
Locket of the Iron Solari,6,3,Full Item,Gnar,8719,TOP
Noonquiver,6,2,Component,Gnar,8719,TOP
Experimental Hexplate,6,3,Full Item,Gnar,8719,TOP
Quicksilver Sash,6,4,Component,Gnar,8719,TOP
Serylda's Grudge,6,3,Full Item,Gnar,8719,TOP
Mercurial Scimitar,5,5,Full Item,Gnar,8719,TOP
Tear of the Goddess,5,0,Component,Gnar,8719,TOP
Knight's Vow,4,2,Full Item,Gnar,8719,TOP
Synchronized Souls,4,3,Boots,Gnar,8719,TOP
Aegis of the Legion,4,1,Component,Gnar,8719,TOP
Navori Flickerblade,4,0,Full Item,Gnar,8719,TOP
Anathema's Chains,3,1,Full Item,Gnar,8719,TOP
Zeke's Convergence,3,1,Full Item,Gnar,8719,TOP
Youmuu's Ghostblade,3,3,Full Item,Gnar,8719,TOP
Your Cut,2,1,Consumable,Gnar,8719,TOP
Opportunity,2,2,Full Item,Gnar,8719,TOP
Sorcerer's Shoes,2,0,Boots,Gnar,8719,TOP
Amplifying Tome,2,2,Component,Gnar,8719,TOP
Rapid Firecannon,2,0,Full Item,Gnar,8719,TOP
Haunting Guise,2,1,Component,Gnar,8719,TOP
Elixir of Iron,2,0,Consumable,Gnar,8719,TOP
Statikk Shiv,2,1,Full Item,Gnar,8719,TOP
Oblivion Orb,2,0,Component,Gnar,8719,TOP
Cosmic Drive,2,2,Full Item,Gnar,8719,TOP
Hubris,2,1,Full Item,Gnar,8719,TOP
Morellonomicon,2,1,Full Item,Gnar,8719,TOP
Last Whisper,2,2,Component,Gnar,8719,TOP
Essence Reaver,2,0,Full Item,Gnar,8719,TOP
Yun Tal Wildarrows,2,1,Full Item,Gnar,8719,TOP
Glacial Buckler,2,0,Component,Gnar,8719,TOP
Seeker's Armguard,2,1,Component,Gnar,8719,TOP
Blasting Wand,1,1,Component,Gnar,8719,TOP
Kircheis Shard,1,1,Component,Gnar,8719,TOP
Faerie Charm,1,0,Component,Gnar,8719,TOP
Gargoyle Stoneplate,1,1,Full Item,Gnar,8719,TOP
Zhonya's Hourglass,1,0,Full Item,Gnar,8719,TOP
Shattered Armguard,1,1,Component,Gnar,8719,TOP
Lich Bane,1,0,Full Item,Gnar,8719,TOP
Sapphire Crystal,1,0,Component,Gnar,8719,TOP
Mejai's Soulstealer,1,1,Full Item,Gnar,8719,TOP
Trailblazer,1,0,Full Item,Gnar,8719,TOP
Aether Wisp,1,0,Component,Gnar,8719,TOP
Riftmaker,1,1,Full Item,Gnar,8719,TOP
Void Staff,1,0,Full Item,Gnar,8719,TOP
Scout's Slingshot,1,1,Component,Gnar,8719,TOP
The Brutalizer,1,1,Component,Gnar,8719,TOP
Slightly Magical Footwear,1,1,Boots,Gnar,8719,TOP
Fiendish Codex,1,0,Component,Gnar,8719,TOP
Fated Ashes,1,1,Component,Gnar,8719,TOP
Eye of the Herald,1,1,Consumable,Gnar,8719,TOP
RavenousHydra,7000,3591,Full Item,Camille,7042,TOP
Trinity Force,6822,4062,Full Item,Camille,7042,TOP
Ravenous Hydra,5760,3591,Full Item,Camille,7042,TOP
Stealth Ward,4980,2882,Trinket,Camille,7042,TOP
Plated Steelcaps,3358,2040,Boots,Camille,7042,TOP
0,2576,1414,,Camille,7042,TOP
Doran's Blade,2381,1393,Starter Item,Camille,7042,TOP
Mercury's Treads,2166,1347,Boots,Camille,7042,TOP
Sterak's Gage,2141,1418,Full Item,Camille,7042,TOP
Long Sword,1327,679,Component,Camille,7042,TOP
Tunneler,1238,740,Component,Camille,7042,TOP
Doran's Shield,1182,707,Starter Item,Camille,7042,TOP
Pickaxe,1026,641,Component,Camille,7042,TOP
Oracle Lens,1016,622,Trinket,Camille,7042,TOP
Spear of Shojin,985,676,Full Item,Camille,7042,TOP
Farsight Alteration,971,609,Trinket,Camille,7042,TOP
Death's Dance,923,619,Full Item,Camille,7042,TOP
Ruby Crystal,754,419,Component,Camille,7042,TOP
Caulfield's Warhammer,736,394,Component,Camille,7042,TOP
Refillable Potion,736,398,Consumable,Camille,7042,TOP
Tiamat,646,297,Component,Camille,7042,TOP
Steel Sigil,636,416,Component,Camille,7042,TOP
Slightly Magical Footwear,514,221,Boots,Camille,7042,TOP
Maw of Malmortius,443,277,Full Item,Camille,7042,TOP
Boots,398,187,Boots,Camille,7042,TOP
Guardian Angel,305,214,Full Item,Camille,7042,TOP
Ionian Boots of Lucidity,291,197,Boots,Camille,7042,TOP
Executioner's Calling,287,139,Component,Camille,7042,TOP
Vampiric Scepter,280,128,Component,Camille,7042,TOP
Cloth Armor,250,142,Component,Camille,7042,TOP
Control Ward,224,124,Consumable,Camille,7042,TOP
Hexdrinker,178,92,Component,Camille,7042,TOP
Sundered Sky,176,121,Full Item,Camille,7042,TOP
B. F. Sword,142,111,Component,Camille,7042,TOP
Null-Magic Mantle,138,83,Component,Camille,7042,TOP
Kindlegem,137,72,Component,Camille,7042,TOP
Glowing Mote,121,55,Consumable,Camille,7042,TOP
Boots of Swiftness,83,49,Boots,Camille,7042,TOP
Negatron Cloak,82,49,Component,Camille,7042,TOP
Titanic Hydra,81,44,Full Item,Camille,7042,TOP
Chempunk Chainsword,70,46,Full Item,Camille,7042,TOP
Kaenic Rookern,60,36,Full Item,Camille,7042,TOP
Phage,54,14,Component,Camille,7042,TOP
Synchronized Souls,51,24,Boots,Camille,7042,TOP
Sheen,49,12,Component,Camille,7042,TOP
Spectre's Cowl,48,32,Component,Camille,7042,TOP
Divine Sunderer,46,21,Full Item,Camille,7042,TOP
Stridebreaker,40,28,Full Item,Camille,7042,TOP
Cull,40,15,Starter Item,Camille,7042,TOP
Hullbreaker,39,22,Full Item,Camille,7042,TOP
Force of Nature,38,27,Full Item,Camille,7042,TOP
Iceborn Gauntlet,35,23,Full Item,Camille,7042,TOP
Spirit Visage,34,24,Full Item,Camille,7042,TOP
Bramble Vest,34,22,Component,Camille,7042,TOP
Symbiotic Soles,32,22,Boots,Camille,7042,TOP
Randuin's Omen,27,13,Full Item,Camille,7042,TOP
Warden's Mail,25,13,Component,Camille,7042,TOP
Total Biscuit of Everlasting Will,25,14,Consumable,Camille,7042,TOP
Bloodthirster,23,16,Full Item,Camille,7042,TOP
Eclipse,22,16,Full Item,Camille,7042,TOP
"Jak'Sho, The Protean",18,12,Full Item,Camille,7042,TOP
Quicksilver Sash,17,12,Component,Camille,7042,TOP
Giant's Belt,16,10,Component,Camille,7042,TOP
Chain Vest,16,10,Component,Camille,7042,TOP
Frozen Heart,15,10,Full Item,Camille,7042,TOP
Thornmail,15,10,Full Item,Camille,7042,TOP
Black Cleaver,14,10,Full Item,Camille,7042,TOP
Hearthbound Axe,13,1,Component,Camille,7042,TOP
Mercurial Scimitar,11,5,Full Item,Camille,7042,TOP
Eye of the Herald,10,10,Consumable,Camille,7042,TOP
Wit's End,9,5,Full Item,Camille,7042,TOP
Serpent's Fang,8,4,Full Item,Camille,7042,TOP
Dagger,7,2,Component,Camille,7042,TOP
Overlord's Bloodmail,7,5,Full Item,Camille,7042,TOP
Heartsteel,5,4,Full Item,Camille,7042,TOP
Blade of The Ruined King,4,3,Full Item,Camille,7042,TOP
Serrated Dirk,3,1,Component,Camille,7042,TOP
Recurve Bow,3,2,Component,Camille,7042,TOP
Dead Man's Plate,3,3,Full Item,Camille,7042,TOP
Elixir of Wrath,3,2,Consumable,Camille,7042,TOP
Shattered Armguard,3,2,Component,Camille,7042,TOP
Edge of Night,2,2,Full Item,Camille,7042,TOP
Berserker's Greaves,2,1,Boots,Camille,7042,TOP
Profane Hydra,2,2,Full Item,Camille,7042,TOP
Glacial Buckler,2,0,Component,Camille,7042,TOP
Zeke's Convergence,1,0,Full Item,Camille,7042,TOP
Blasting Wand,1,0,Component,Camille,7042,TOP
Imperial Mandate,1,0,Full Item,Camille,7042,TOP
Health Potion,1,0,Consumable,Camille,7042,TOP
Staff of Flowing Water,1,0,Full Item,Camille,7042,TOP
Navori Flickerblade,1,1,Full Item,Camille,7042,TOP
Abyssal Mask,1,0,Full Item,Camille,7042,TOP
Fiendish Codex,1,0,Component,Camille,7042,TOP
Rectrix,1,0,Component,Camille,7042,TOP
Seeker's Armguard,1,1,Component,Camille,7042,TOP
Redemption,1,1,Full Item,Camille,7042,TOP
Opportunity,1,1,Full Item,Camille,7042,TOP
Fimbulwinter,1,1,Full Item,Camille,7042,TOP
Elixir of Iron,1,1,Consumable,Camille,7042,TOP
Cloak of Agility,1,0,Component,Camille,7042,TOP
Your Cut,1,0,Consumable,Camille,7042,TOP
Elixir of Sorcery,1,1,Consumable,Camille,7042,TOP
Faerie Charm,1,0,Component,Camille,7042,TOP
Tear of the Goddess,1,0,Component,Camille,7042,TOP
Zephyr,1,1,Full Item,Camille,7042,TOP
Zeal,1,0,Component,Camille,7042,TOP
Winged Moonplate,1,0,Component,Camille,7042,TOP
Amplifying Tome,1,0,Component,Camille,7042,TOP
Stealth Ward,4433,2614,Trinket,Aatrox,6781,TOP
Plated Steelcaps,4246,2522,Boots,Aatrox,6781,TOP
Eclipse,4108,2467,Full Item,Aatrox,6781,TOP
Profane Hydra,3135,1994,Full Item,Aatrox,6781,TOP
0,2790,1491,,Aatrox,6781,TOP
Sundered Sky,2502,1577,Full Item,Aatrox,6781,TOP
Doran's Shield,1997,1169,Starter Item,Aatrox,6781,TOP
Black Cleaver,1892,1149,Full Item,Aatrox,6781,TOP
Mercury's Treads,1836,1150,Boots,Aatrox,6781,TOP
Long Sword,1616,869,Component,Aatrox,6781,TOP
Doran's Blade,1373,859,Starter Item,Aatrox,6781,TOP
Farsight Alteration,1247,731,Trinket,Aatrox,6781,TOP
Sterak's Gage,1100,741,Full Item,Aatrox,6781,TOP
Oracle Lens,1095,697,Trinket,Aatrox,6781,TOP
Tunneler,1050,609,Component,Aatrox,6781,TOP
Serylda's Grudge,950,641,Full Item,Aatrox,6781,TOP
Pickaxe,735,449,Component,Aatrox,6781,TOP
Refillable Potion,733,402,Consumable,Aatrox,6781,TOP
Caulfield's Warhammer,726,368,Component,Aatrox,6781,TOP
Edge of Night,658,445,Full Item,Aatrox,6781,TOP
Ruby Crystal,630,350,Component,Aatrox,6781,TOP
Maw of Malmortius,509,337,Full Item,Aatrox,6781,TOP
Executioner's Calling,482,266,Component,Aatrox,6781,TOP
Boots,440,215,Boots,Aatrox,6781,TOP
Serrated Dirk,440,273,Component,Aatrox,6781,TOP
The Brutalizer,425,255,Component,Aatrox,6781,TOP
Death's Dance,403,273,Full Item,Aatrox,6781,TOP
Opportunity,373,257,Full Item,Aatrox,6781,TOP
Tiamat,298,146,Component,Aatrox,6781,TOP
Steel Sigil,252,155,Component,Aatrox,6781,TOP
Hexdrinker,246,144,Component,Aatrox,6781,TOP
Last Whisper,242,144,Component,Aatrox,6781,TOP
Control Ward,217,135,Consumable,Aatrox,6781,TOP
Stridebreaker,205,122,Full Item,Aatrox,6781,TOP
Glowing Mote,194,92,Consumable,Aatrox,6781,TOP
Hubris,183,136,Full Item,Aatrox,6781,TOP
Cloth Armor,175,95,Component,Aatrox,6781,TOP
Phage,146,86,Component,Aatrox,6781,TOP
Null-Magic Mantle,137,74,Component,Aatrox,6781,TOP
Spirit Visage,131,96,Full Item,Aatrox,6781,TOP
Boots of Swiftness,123,69,Boots,Aatrox,6781,TOP
Overlord's Bloodmail,101,71,Full Item,Aatrox,6781,TOP
Spectre's Cowl,95,63,Component,Aatrox,6781,TOP
Serpent's Fang,92,56,Full Item,Aatrox,6781,TOP
Mortal Reminder,79,57,Full Item,Aatrox,6781,TOP
Warden's Mail,77,46,Component,Aatrox,6781,TOP
Ionian Boots of Lucidity,74,53,Boots,Aatrox,6781,TOP
Randuin's Omen,72,48,Full Item,Aatrox,6781,TOP
Spear of Shojin,70,39,Full Item,Aatrox,6781,TOP
Bramble Vest,61,35,Component,Aatrox,6781,TOP
Kindlegem,56,33,Component,Aatrox,6781,TOP
Chempunk Chainsword,54,34,Full Item,Aatrox,6781,TOP
Youmuu's Ghostblade,53,28,Full Item,Aatrox,6781,TOP
Cull,53,33,Starter Item,Aatrox,6781,TOP
Rectrix,52,35,Component,Aatrox,6781,TOP
Guardian Angel,44,31,Full Item,Aatrox,6781,TOP
Voltaic Cyclosword,38,19,Full Item,Aatrox,6781,TOP
Ravenous Hydra,36,26,Full Item,Aatrox,6781,TOP
Axiom Arc,35,24,Full Item,Aatrox,6781,TOP
Negatron Cloak,35,25,Component,Aatrox,6781,TOP
Iceborn Gauntlet,31,25,Full Item,Aatrox,6781,TOP
Chain Vest,23,17,Component,Aatrox,6781,TOP
B. F. Sword,21,16,Component,Aatrox,6781,TOP
Heartsteel,20,13,Full Item,Aatrox,6781,TOP
"Jak'Sho, The Protean",18,10,Full Item,Aatrox,6781,TOP
Giant's Belt,15,4,Component,Aatrox,6781,TOP
Goredrinker,13,9,Full Item,Aatrox,6781,TOP
Kaenic Rookern,11,7,Full Item,Aatrox,6781,TOP
Health Potion,11,8,Consumable,Aatrox,6781,TOP
Duskblade of Draktharr,10,6,Full Item,Aatrox,6781,TOP
Experimental Hexplate,10,8,Full Item,Aatrox,6781,TOP
Hullbreaker,9,3,Full Item,Aatrox,6781,TOP
Dagger,9,7,Component,Aatrox,6781,TOP
Unending Despair,8,5,Full Item,Aatrox,6781,TOP
Thornmail,7,4,Full Item,Aatrox,6781,TOP
Archangel's Staff,7,7,Full Item,Aatrox,6781,TOP
Abyssal Mask,6,5,Full Item,Aatrox,6781,TOP
Trinity Force,6,5,Full Item,Aatrox,6781,TOP
Guinsoo's Rageblade,6,6,Full Item,Aatrox,6781,TOP
Eye of the Herald,6,4,Consumable,Aatrox,6781,TOP
Locket of the Iron Solari,5,4,Full Item,Aatrox,6781,TOP
Symbiotic Soles,4,2,Boots,Aatrox,6781,TOP
Berserker's Greaves,4,3,Boots,Aatrox,6781,TOP
Phantom Dancer,4,4,Full Item,Aatrox,6781,TOP
Lord Dominik's Regards,3,3,Full Item,Aatrox,6781,TOP
Sheen,3,2,Component,Aatrox,6781,TOP
The Collector,3,3,Full Item,Aatrox,6781,TOP
Zeal,3,3,Component,Aatrox,6781,TOP
Dead Man's Plate,3,2,Full Item,Aatrox,6781,TOP
Titanic Hydra,3,2,Full Item,Aatrox,6781,TOP
Zeke's Convergence,3,1,Full Item,Aatrox,6781,TOP
Frozen Heart,3,2,Full Item,Aatrox,6781,TOP
Vampiric Scepter,3,2,Component,Aatrox,6781,TOP
Force of Nature,3,3,Full Item,Aatrox,6781,TOP
Knight's Vow,2,1,Full Item,Aatrox,6781,TOP
Infinity Edge,2,0,Full Item,Aatrox,6781,TOP
Seeker's Armguard,2,1,Component,Aatrox,6781,TOP
Your Cut,2,2,Consumable,Aatrox,6781,TOP
Winged Moonplate,2,1,Component,Aatrox,6781,TOP
Bloodthirster,2,0,Full Item,Aatrox,6781,TOP
Evenshroud,1,1,Full Item,Aatrox,6781,TOP
Blade of The Ruined King,1,0,Full Item,Aatrox,6781,TOP
Quicksilver Sash,1,1,Component,Aatrox,6781,TOP
Sapphire Crystal,1,0,Component,Aatrox,6781,TOP
Sorcerer's Shoes,1,0,Boots,Aatrox,6781,TOP
Bloodsong,1,1,Full Item,Aatrox,6781,TOP
Zephyr,1,1,Full Item,Aatrox,6781,TOP
Slightly Magical Footwear,1,1,Boots,Aatrox,6781,TOP
Elixir of Iron,1,1,Consumable,Aatrox,6781,TOP
Crystalline Bracer,1,0,Component,Aatrox,6781,TOP
Dark Seal,1,1,Starter Item,Aatrox,6781,TOP
Amplifying Tome,1,0,Component,Aatrox,6781,TOP
Haunting Guise,1,1,Component,Aatrox,6781,TOP
Glacial Buckler,1,0,Component,Aatrox,6781,TOP
Elixir of Wrath,1,1,Consumable,Aatrox,6781,TOP
